System/Element;PNO-LCCSD(T)-F12b
s_k_23_H;-0.499946081761
s_k_23_O;-75.002361827
s_k_23_K;-599.458830061
;
s_k_24;-800.120247570
s_k_24_H;-0.499946081761
s_k_24_F;-99.665129217
s_k_24_K;-599.458870676
;
s_k_25;-1059.682740390
s_k_25_H;-0.499946081761
s_k_25_Cl_cation;-459.226816845
s_k_25_K;-599.459089529
;
s_k_26;-984.653866140
s_k_26_H;-0.499946081761
s_k_26_C_cation;-37.375893439
s_k_26_C;-37.788232015
s_k_26_K;-599.458635559
;
s_k_27;-825.411555090
s_k_27_H;-0.499946081761
s_k_27_N;-54.527897826
s_k_27_K;-599.458701327
;
s_k_28;-847.275250090
s_k_28_H;-0.499946081761
s_k_28_C_cation;-37.375903212
s_k_28_C;-37.788249801
s_k_28_N;-54.527895476
s_k_28_K;-599.458694642
;
s_k_29;-2195.219363720
s_k_29_H;-0.499946081761
s_k_29_S_cation;-397.293237115
s_k_29_S;-397.672884444
s_k_29_K;-599.458838408
;
s_k_30;-1284.764009520
s_k_30_H;-0.499946081761
s_k_30_P_cation;-340.443453572
s_k_30_P;-340.829999550
s_k_30_K;-599.458915090
;
s_ca_1;-1711.850684330
s_ca_1_H;-0.499946081761
s_ca_1_C;-37.788223586
s_ca_1_O_anion;-75.055600279
s_ca_1_O;-75.002255926
s_ca_1_Ca;-677.107395352
;
s_ca_2;-2056.811824460
s_ca_2_Cl_anion;-459.838602968
s_ca_2_Cl;-459.703580890
s_ca_2_Ca;-677.107874302
;
s_ca_3;-678.904730910
s_ca_3_H_anion;-0.513835210
s_ca_3_H;-0.499946081761
s_ca_3_Ca;-677.108071809
;
s_ca_4;-3939.944438260
s_ca_4_H;-0.499946081761
s_ca_4_C;-37.788297489
s_ca_4_O;-75.002372775
s_ca_4_F;-99.665118674
s_ca_4_P;-340.829964706
s_ca_4_Cl_anion;-459.838448434
s_ca_4_Ca;-677.107719477
;
s_ca_5;-1354.221125260
s_ca_5_Ca;-677.108159400
;
s_ca_6;-1753.844928380
s_ca_6_F;-99.665127075
s_ca_6_Ca;-677.107738009
;
s_ca_7;-2713.332641190
s_ca_7_H;-0.499946081761
s_ca_7_Ca;-677.108104991
;
s_ca_8;-3218.755191780
s_ca_8_H;-0.499946081761
s_ca_8_C;-37.788287730
s_ca_8_N;-54.527939763
s_ca_8_O;-75.002357345
s_ca_8_Ca;-677.107676677
;
s_ca_9;-4300.210450520
s_ca_9_S;-397.673038483
s_ca_9_Ca;-677.107973878
;
s_ca_10;-1029.687082100
s_ca_10_H;-0.499946081761
s_ca_10_O;-75.002328659
s_ca_10_F;-99.665063199
s_ca_10_Ca;-677.107597106
;
s_ca_11;-1709.943182140
s_ca_11_H;-0.499946081761
s_ca_11_N;-54.527938348
s_ca_11_Cl;-459.703440024
s_ca_11_Ca;-677.107671360
;
s_ca_12;-1176.832845410
s_ca_12_H;-0.499946081761
s_ca_12_C;-37.788315081
s_ca_12_Cl;-459.703526981
s_ca_12_Ca;-677.107796637
;
s_ca_13;-1140.968864120
s_ca_13_H;-0.499946081761
s_ca_13_C;-37.788225072
s_ca_13_Ca;-677.107401867
;
s_ca_14;-876.871376820
s_ca_14_F;-99.665128599
s_ca_14_Ca;-677.107741370
;
s_ca_15;-717.537303320
s_ca_15_H;-0.499946081761
s_ca_15_C;-37.788317969
s_ca_15_Ca;-677.107809301
;
s_ca_16;-756.800765640
s_ca_16_H;-0.499946081761
s_ca_16_C;-37.788283553
s_ca_16_Ca;-677.107658357
;
s_ca_17;-808.882641150
