System;PNO-LCCSD(T)-F12b;wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
s_mg_18;-552.522092130000;-552.904018049900;-552.557963585000;-552.866075788400;-552.875065474500;-552.836746029900;-552.544161192300;-552.899001425700;-552.873158490000;-552.783870280700
s_mg_19;-240.409784770000;-240.540121343100;-240.426890108700;-240.539855829900;-240.540664773500;-240.530437196800;-240.400081507800;-240.526718526000;-240.527392410000;-240.506876331600
s_mg_20;-279.677584420000;-279.857759703100;-279.720278655500;-279.857045906000;-279.865779945900;-279.847529919700;-279.687622163300;-279.837282372200;-279.842214810000;-279.820200517500
s_mg_21;-331.724246140000;-331.941214052200;-331.746917341600;-331.918431376600;-331.927205145300;-331.904813794700;-331.729903080100;-331.925292927400;-331.922254600000;-331.865472505500
s_mg_22;-1187.140599720000;-1188.651847766000;-1187.807793281000;-1188.495916039000;-1188.627821291000;-1188.482353677000;-1187.756378013000;-1188.585107439700;-1188.595226430000;-1188.369428011000
s_mg_23;-2203.846512450000;-2205.481959540000;-2204.497317404000;-2205.340127586000;-2205.446649459000;-2205.342272245000;-2204.340694380000;-2205.381342823800;-2205.393960360000;-2205.189650174000
s_mg_24;-659.519217340000;-660.043803656700;-659.819362959600;-660.003559909500;-660.041003647200;-660.021135917600;-659.765343064400;-660.028316850500;-660.021657770000;-659.984147459400
s_mg_25;-315.556221500000;-315.816107703500;-315.637066408300;-315.796529238500;-315.815863039800;-315.783363532700;-315.617796800500;-315.792933316000;-315.802276980000;-315.759788915700
s_mg_26;-299.524401130000;-299.695067144600;-299.525838966000;-299.669933101400;-299.673179549600;-299.663191430000;-299.510789346100;-299.690659196100;-299.679987470000;-299.640062657200
s_mg_27;-2003.863275550000;-2005.414668616000;-2004.541999827000;-2005.303245476000;-2005.377329533000;-2005.311952967000;-2004.426928901000;-2005.348633046400;-2005.343135120000;-2005.165611552000
s_mg_28;-1867.441974840000;-1869.425916956000;-1868.738017473000;-1869.333092933000;-1869.415312022000;-1869.371501849000;-1868.610467018000;-1869.362696025100;-1869.370236870000;-1869.266938131000
s_k_1;-600.616346750000;-601.043944847400;-600.905299839100;-601.030273411300;-601.061584523300;-601.039588589200;-600.859721671600;-601.036044520900;-601.026277370000;-601.006655831500
s_k_2;-2044.433828560000;-2045.999587417000;-2045.374093691000;-2045.891174572000;-2046.038305464000;-2045.927220086000;-2045.254715988000;-2045.956216367600;-2045.950189020000;-2045.826418872000
s_k_3;-2060.156602970000;-2061.868223576000;-2061.183583768000;-2061.731856001000;-2061.921425176000;-2061.764870667000;-2061.036068120000;-2061.810547531800;-2061.820354260000;-2061.675019109000
s_k_4;-3051.889544810000;-3054.979815176000;-3053.627874142000;-3054.690817238000;-3054.954168483000;-3054.740852232000;-3053.489452393000;-3054.895848231800;-3054.885187400000;-3054.543967260000
s_k_5;-1462.652330130000;-1463.813723629000;-1463.308039507000;-1463.703002170000;-1463.826685236000;-1463.735774625000;-1463.230957444000;-1463.781295736000;-1463.777160060000;-1463.656974228000
s_k_6;-1398.705418620000;-1399.735412322000;-1399.300398161000;-1399.656904706000;-1399.754699795000;-1399.683481911000;-1399.216073340000;-1399.707321786500;-1399.703445490000;-1399.616803480000
s_k_7;-1274.103939000000;-1275.040399603000;-1274.690073976000;-1274.975031298000;-1275.065504638000;-1275.010592501000;-1274.618782118000;-1274.969227054000;-1275.010030070000;-1274.938755092000
s_k_8;-1994.599296810000;-1996.324130576000;-1995.800037143000;-1996.215868808000;-1996.374644917000;-1996.294534093000;-1995.647834362000;-1996.278558522000;-1996.275369100000;-1996.209617143000
s_k_9;-2926.042654780000;-2928.509774997000;-2927.491157215000;-2928.308101194000;-2928.581778305000;-2928.367063270000;-2927.301790748000;-2928.437747480300;-2928.433770780000;-2928.232042898000
s_k_10;-3006.512100690000;-3008.820239583000;-3007.796953668000;-3008.642736861000;-3008.854938342000;-3008.687282630000;-3007.621274385000;-3008.781677190300;-3008.745706160000;-3008.542995579000
s_k_11;-3397.413366470000;-3400.106585486000;-3399.223655624000;-3399.940367771000;-3400.223029965000;-3400.060230111000;-3398.948382447000;-3400.038058598300;-3400.025749290000;-3399.934547502000
s_k_12;-2621.655763300000;-2623.623646935000;-2622.878095343000;-2623.488484357000;-2623.706041527000;-2623.557580528000;-2622.692578960000;-2623.573076986500;-2623.555018840000;-2623.435510187000
s_k_13;-4795.833018260000;-4799.287204027000;-4798.167414557000;-4799.053871463000;-4799.466742172000;-4799.214960342000;-4797.804585484000;-4799.233164060100;-4799.189393060000;-4799.097856229000
s_k_14;-639.283567780000;-639.763403374900;-639.598001552400;-639.741963496500;-639.790194979700;-639.756332964000;-639.548245648200;-639.748393422700;-639.747449700000;-639.728425859700
s_k_15;-2118.683941040000;-2120.417712167000;-2119.870461774000;-2120.304426043000;-2120.475226189000;-2120.384821947000;-2119.701932915000;-2120.376269755800;-2120.365866080000;-2120.309796805000
s_k_16;-4237.417590350000;-4240.884803389000;-4239.789733334000;-4240.657170125000;-4241.000093670000;-4240.818340639000;-4239.451757238000;-4240.801469559000;-4240.776578430000;-4240.674039620000
s_k_17;-792.742129190000;-793.456624048000;-793.167663131600;-793.396810503400;-793.484331643800;-793.418781440500;-793.101779915000;-793.428306327200;-793.432621360000;-793.374485199700
s_k_18;-1407.837270370000;-1408.949535895000;-1408.488567119000;-1408.870900527000;-1408.981515682000;-1408.888973354000;-1408.401367346000;-1408.918214751700;-1408.913849690000;-1408.821575705000
s_k_19;-2110.656015840000;-2112.389018775000;-2111.685694979000;-2112.241018255000;-2112.443392452000;-2112.292892913000;-2111.544421906000;-2112.333161736900;-2112.335347920000;-2112.188418536000
s_k_20;-1561.542302860000;-1562.869497977000;-1562.258321757000;-1562.742232768000;-1562.882493591000;-1562.753063041000;-1562.170466882000;-1562.817250721500;-1562.826370010000;-1562.668456243000
s_k_21;-676.534899660000;-677.080195926900;-676.868474706300;-677.039556610800;-677.101406465100;-677.054412245300;-676.815615316300;-677.068663890500;-677.063673650000;-677.029182484900
s_k_22;-677.787497090000;-678.323642710200;-678.126230086600;-678.294207777900;-678.349811987100;-678.310288208700;-678.066479637800;-678.312577063200;-678.306014560000;-678.284831974900
s_k_23;-752.100616490000;-752.668861504600;-752.418419400800;-752.629785807400;-752.681884330300;-752.639280778300;-752.369640252600;-752.648244559500;-752.644501350000;-752.604197347100
s_k_24;-800.120247570000;-800.709608087100;-800.430532983700;-800.666379529400;-800.716336754300;-800.672915333800;-800.382174028700;-800.696458862100;-800.687687920000;-800.641115967800
s_k_25;-1059.682740390000;-1060.547361435000;-1060.278652423000;-1060.494480344000;-1060.576520586000;-1060.535777418000;-1060.192663498000;-1060.522217478000;-1060.525551490000;-1060.499357952000
s_k_26;-984.653866140000;-985.660115460800;-985.224631912100;-985.578118272900;-985.681437846100;-985.591416774800;-985.143270988600;-985.625805234600;-985.627731430000;-985.538269417500
s_k_27;-825.411555090000;-826.062799115700;-825.777215914500;-826.037753730300;-826.089256075500;-826.041593865900;-825.711787268100;-826.042247451900;-826.028444780000;-825.981595488000
s_k_28;-847.275250090000;-848.061919225700;-847.726928314500;-847.998399432400;-848.077927929500;-848.010690047000;-847.664199215300;-848.043727103600;-848.036801220000;-847.967572890900
