Element  (for transition metal atoms, we additionally report „state-controlled“ energies, see main paper Sec. 3.2);wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
Os;-90.469613087390;-90.549280643190;-90.538885814590;-90.459256877870;-90.602253540700;-90.592772331240;-90.474266851824;-90.468030330000;-90.587917560380
Os (state-controlled);-90.469605970000;-90.549302570000;-90.538882970000;-90.459269640000;-90.602208160000;-90.592812150000;;;
Ir;-104.139778765900;-104.229703934500;-104.217097127100;-104.130576017500;-104.282980067100;-104.275432323900;-104.153582951633;-104.138874860000;-104.265842454000
Ir (state-controlled);-104.141980300000;-104.225096200000;-104.217655800000;-104.127243300000;-104.280261700000;-104.271245800000;;;
Pt;-119.171837220300;-119.256267974800;-119.245653444400;-119.161510268100;-119.307851562500;-119.302897887600;-119.181013671704;-119.170674790000;-119.295032436400
Pt (state-controlled);-119.171857600000;-119.256312900000;-119.245684900000;-119.161545000000;-119.307985700000;-119.302930200000;;;
Au;-135.618528833200;-135.702439912500;-135.690649556900;-135.604708748300;-135.759200866500;-135.746206802000;-135.617202298266;-135.618351890000;-135.755201074000
Au (state-controlled);-135.618524500000;-135.702441600000;-135.690656300000;-135.604716200000;-135.759130500000;-135.746213000000;;;
Hg;-153.428667335700;-153.515230320800;-153.505795662300;-153.408400029900;-153.584293473500;-153.557095328100;-153.428375087446;-153.428351250000;-153.583842653400
Hg (state-controlled);-153.428648600000;-153.515191300000;-153.505762300000;-153.408350300000;-153.584330000000;-153.557052600000;;;
Tl;-172.419502091400;-172.499309728300;-172.489802764300;-172.385772554300;-172.578761707900;-172.536011861400;-172.411542109724;-172.418896710000;-172.578107945800
Tl_cation;-172.220604923500;-172.299285379800;-172.290394485600;-172.188474299300;-172.376435291400;-172.336575575400;-172.205176435871;-172.220311877714;-172.376027173700
Pb;-192.764272623900;-192.837713427400;-192.825215183800;-192.722313146400;-192.927197324200;-192.865724118600;-192.763856245289;-192.763447930000;-192.926300149500
Pb_cation;-192.509604944500;-192.579975566800;-192.570757327500;-192.467234120400;-192.666512002200;-192.609336803400;-192.503079263009;-192.508812794392;-192.665613211200
Bi;-214.547837093600;-214.618474060200;-214.600424446800;-214.506711409700;-214.718613115500;-214.637946767500;-214.545515195582;-214.546975370000;-214.717727162600
Bi_cation;-214.234820908200;-214.301122054300;-214.288918918300;-214.189144087900;-214.396718991100;-214.323227211200;-214.218341275148;-214.233802431475;-214.395531826700
Bi_anion;-214.575756561600;-214.645424497600;-214.631772356000;-214.522606748000;-214.745430883500;-214.667390389900;-214.558548608715;-214.572853727039;-214.741014586900
Po;-237.735004213600;-237.797221697300;-237.783990338700;-237.681058167400;-237.902312451200;-237.812406403500;-237.729197840607;-237.734069074264;-237.899338792600
Po_cation;-237.428810512500;-237.492670756800;-237.475400615100;-237.385320442600;-237.598869076000;-237.507084815500;-237.431439957389;-237.427883649137;-237.598215974200
Po_anion;-237.802516297300;-237.865649968000;-237.854171936500;-237.736906096600;-237.970088546600;-237.882557267700;-237.782501939703;-237.802771331605;-237.965435493300
At;-262.422751132100;-262.479870249100;-262.468457701900;-262.359737254000;-262.588715839400;-262.490515765500;-262.421956773633;-262.421957241603;-262.585601105300
At_cation;-262.057800810700;-262.113947102500;-262.101447723200;-262.002350884900;-262.224084062200;-262.125005751400;-262.064444774297;-262.056820774891;-262.220758964900
At_anion;-262.531034905800;-262.590996222000;-262.579270990100;-262.460775604500;-262.700130314700;-262.601993141000;-262.517051222264;-262.531343350312;-262.697924089700
Rn;-288.651822902900;-288.707890094900;-288.695424011500;-288.590091196700;-288.820027055700;-288.712284497500;-288.651447892903;-288.651488505841;-288.819505032900
Rn_cation;-288.226571682100;-288.279504828300;-288.268252381400;-288.166296915200;-288.391626860400;-288.285880568600;-288.215561615481;-288.225828219073;-288.388043142200
